iter	Passed	Remaining
0	135	53878
1	167	33274
2	189	25029
3	209	20712
4	230	18176
5	254	16718
6	278	15659
7	297	14553
8	319	13899
9	363	14159
10	385	13624
11	406	13147
12	431	12835
13	451	12436
14	474	12166
15	493	11855
16	522	11778
17	541	11491
18	563	11306
19	578	10999
20	599	10825
21	622	10692
22	643	10546
23	667	10464
24	699	10486
25	717	10324
26	739	10212
27	756	10054
28	781	9995
29	799	9855
30	817	9725
31	838	9645
32	858	9547
33	883	9512
34	904	9429
35	934	9451
36	950	9327
37	979	9332
38	999	9255
39	1021	9195
40	1038	9094
41	1061	9045
42	1087	9029
43	1107	8959
44	1129	8913
45	1151	8858
46	1173	8814
47	1194	8763
48	1213	8694
49	1233	8634
50	1258	8613
51	1275	8533
52	1290	8449
53	1316	8437
54	1335	8377
55	1377	8464
56	1396	8403
57	1431	8440
58	1452	8393
59	1460	1475	60	1461	1497	61	1562	1529	62	1563	1547	63	1564	1571	64	1565	1591	65	1666	1631	66	1667	1656	67	1668	1695	8133
69	1725	8133
70	1746	70	1771	1790	8154
72	1805	72	1873	1841	8114
74	1860	8060
75	1884	8032
76	1908	8004
77	1928	7961
78	1964	7984
79	1992	7968
80	2013	7931
81	2053	7962
82	2070	7908
83	2091	7868
84	2110	7822
85	2141	7818
86	2161	7777
87	2182	7738
88	2201	7693
89	2225	7664
90	2241	7611
91	2259	7565
92	2277	7516
93	2297	7477
94	2318	7443
95	2337	7400
96	2355	7356
97	2373	7314
98	2391	7270
99	2412	7237
100	2434	7206
101	2453	7167
102	2471	7127
103	2488	7082
104	2509	7050
105	2526	7008
106	2550	6983
107	2640	7138
108	2666	7118
109	2712	7151
110	2732	7114
111	2749	7071
112	2770	7037
113	2797	7017
114	2825	7003
115	2849	6975
116	2873	6951
117	2889	6905
118	2907	6865
119	2926	6827
120	2949	6799
121	2965	6757
122	2984	6722
123	3006	6691
124	3029	6665
125	3047	6626
126	3064	6588
127	3084	6554
128	3100	6513
129	3118	6476
130	3137	6443
131	3156131	31132	3171132	31133	3188133	32134	3206134	32135	3228135	32136	3247136	32137	3261137	32138	3279138	32139	3296139	33140	3321140	33141	3350	6087
142	3368142	33143	3385143	34144	3399144	34145	3420145	3463	6025
146	3484	5997
147	3507	5971
148	3531	5949
149	3550	5916
150	3572	5891
151	3599	5872
152	3622	5848
153	3638	5812
154	3658	5782
155	3676	5751
156	3695	5720
157	3711	5684
158	3730	5653
159	3751	5627
160	3766	5591
161	3786	5563
162	3804	5531
163	3825	5505
164	3845	5476
165	3864	5447
166	3881	5415
167	3895	5379
168	3916	5352
169	3932	5320
170	3952	5292
171	3973	5266
172	3998	5246
173	4019	5221
174	4042	5197
175	4069	5178
176	4087	5149
177	4106	5121
178	4125	5094
179	4147	5069
180	4169	5044
181	4189	5018
182	4213	4995
183	4229	4965
184	4250	4940
185	4264	4906
186	4283	4878
187	4302	4852
188	4322	4825
189	4344	4802
190	4375	4787
191	4400	4767
192	4419	4739
193	4444	4719
194	4464	4693
195	4485	4669
196	4503	4640
197	4529	4621
198	4550	4595
199	4573	4573
200	4590	4545
201	4607	4516
202	4628	4491
203	4650	4468
204	4675	4447
205	4696	4422
206	4713	4394
207	4730	4366
208	4750	4341
209	4770	4316
210	4798	4298
211	4814	4269
212	4835	4245
213	4854	4219
214	4873	4193
215	4890	4165
216	4906	4137
217	4927	4113
218	4943	4085
219	4964	4061
220	4982	4035
221	4999	4008
222	5016	3981
223	5035	3956
224	5052	3930
225	5068	3902
226	5084	3875
227	5101	3848
228	5124	3826
229	5142	3800
230	5159	3774
231	5183	3753
232	5200	3727
233	5217	3701
234	5237	3677
235	5251	3649
236	5277	3629
237	5293	3603
238	5311	3578
239	5326	3551
240	5340	3523
241	5359	3498
242	5380	3476
243	5408	3457
244	5426	3433
245	5447	3410
246	5462	3383
247	5481	3359
248	5502	3336
249	5520	3312
250	5537	3286
251	5559	3265
252	5577	3240
253	5595	3216
254	5614	3192
255	5631	3167
256	5651	3144
257	5668	3120
258	5680	3092
259	5754	3098
260	5785	3081
261	5818	3064
262	5857	3051
263	5877	3027
264	5908	3010
265	5938	2991
266	5962	2969
267	6001	2956
